Real_Time,Time_ms,Location_Note,CO2,VOC,IAQ,Gas_Res,Temp_Raw,Temp_Comp,Hum_Raw,Hum_Comp,Accuracy
2025-11-27 15:37:06,111986.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104818.0,0.0,25.52,41.0,0,0
2025-11-27 15:37:07,113016.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105213.0,0.0,0,0,41.11,0.0
2025-11-27 15:37:08,114046.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.52,41.0,41.11,0.0
2025-11-27 15:37:09,115076.0,Brodie Tower Seminar Room,500.0,0,0,104752.0,0.0,25.52,41.0,41.11,0.0
2025-11-27 15:37:09,0,Brodie Tower Seminar Room,0,0.49,25.0,104884.0,0.0,25.54,41.0,41.1,0.0
2025-11-27 15:37:10,116106.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104426.0,0.0,25.54,41.0,0,0
2025-11-27 15:37:10,117197.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105015.0,0.0,0,0,41.1,0.0
2025-11-27 15:37:12,118227.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.55,41.0,41.07,0.0
2025-11-27 15:37:12,119257.0,Brodie Tower Seminar Room,500.0,0,0,104491.0,0.0,25.55,41.0,41.07,0.0
2025-11-27 15:37:12,0,Brodie Tower Seminar Room,0,0.49,25.0,105279.0,0.0,25.55,41.0,41.07,0.0
2025-11-27 15:37:14,120287.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104687.0,0.0,25.55,41.0,0,0
2025-11-27 15:37:15,121317.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104752.0,0.0,0,0,41.09,0.0
2025-11-27 15:37:16,122347.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.55,41.0,41.09,0.0
2025-11-27 15:37:17,123377.0,Brodie Tower Seminar Room,500.0,0,0,104622.0,0.0,25.55,41.0,41.09,0.0
2025-11-27 15:37:17,0,Brodie Tower Seminar Room,0,0.49,25.0,104687.0,0.0,25.55,41.0,41.1,0.0
2025-11-27 15:37:18,124468.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104687.0,0.0,25.55,41.0,0,0
2025-11-27 15:37:19,125558.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104296.0,0.0,0,0,41.1,0.0
2025-11-27 15:37:20,126588.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.55,41.0,41.1,0.0
2025-11-27 15:37:21,127618.0,Brodie Tower Seminar Room,500.0,0,0,104556.0,0.0,25.57,41.0,41.08,0.0
2025-11-27 15:37:21,0,Brodie Tower Seminar Room,0,0.49,25.0,104687.0,0.0,25.57,41.0,41.08,0.0
2025-11-27 15:37:22,128709.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104622.0,0.0,25.57,41.0,0,0
2025-11-27 15:37:23,129739.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104622.0,0.0,0,0,41.08,0.0
2025-11-27 15:37:24,130769.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.58,41.0,41.07,0.0
2025-11-27 15:37:25,131799.0,Brodie Tower Seminar Room,500.0,0,0,104687.0,0.0,25.58,41.0,41.07,0.0
2025-11-27 15:37:25,0,Brodie Tower Seminar Room,0,0.49,25.0,104622.0,0.0,25.58,41.0,41.07,0.0
2025-11-27 15:37:26,132829.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104818.0,0.0,25.59,41.0,0,0
2025-11-27 15:37:28,133859.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104426.0,0.0,0,0,41.07,0.0
2025-11-27 15:37:29,134950.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.59,41.0,41.07,0.0
